"F_Id","F_UserId","F_UserName","F_Category","F_Type","F_Level","F_IPAddress","F_IPAddressName","F_RequestURL","F_RequestMethod","F_RequestDuration","F_Abstracts","F_Json","F_PlatForm","F_CreatorTime","F_ModuleId","F_ModuleName","F_ObjectId"
"bb83fd2fe75442e8a103d671f87d76df","048657c1-ecb1-4e5d-aced-6126ceae779e","於友绿/181001","5",,,"192.168.0.100",,"/api/Permission/Organize/Tree","GET","1",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36","23/3/2021 09:14:15",,,
"bb9a385822ea4c04a86381fc1d0a613d","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/VisualDevelopment/Model/944cf200a7f847fca7a158379fcc1395/7c2d9ad53927459a856cb0b8181aa78e/DataChange","GET","33",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0","23/3/2021 06:47:25",,,
"bb9cc2bed924456a81c46d6c17dbf39c","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/VisualDevelopment/Model/944cf200a7f847fca7a158379fcc1395/3da24d8d730b48af8add38a6a959c049/DataChange","GET","34",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0","23/3/2021 06:51:15",,,
"bb9fefcbdf114cbf8af01956ec313bf6","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowEngine/ListAll","GET","18",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:06:40",,,
"bba3fc6541c8448292fde31d211f6832","admin","管理员/admin","5",,,"192.168.0.81",,"/api/DataV/Map","GET","102",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:39:44",,,
"bbadc287853d4330b1899615bbf07ffa","admin","管理员/admin","5",,,"192.168.0.81",,"/api/DataInterface","GET","8",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:28:19",,,
"bbb40eacace94f67aea97a5d55b66e0e","048657c1-ecb1-4e5d-aced-6126ceae779e","於友绿/181001","5",,,"192.168.0.100",,"/api/VisualDevelopment","GET","5",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36","23/3/2021 09:10:37",,,
"bbc0f3783a49439aacae527fc9c5bdb2","admin","管理员/admin","5",,,"192.168.0.81",,"/api/VisualDevelopment/Model/944cf200a7f847fca7a158379fcc1395/c45b8c851b8643ce86a95b6022c11614","DELETE","27",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 06:30:29",,,
"bbef480ed5134dfda75ce8c550bc2727","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.81",,"/api/Home/FlowTodo","GET","6",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 09:00:48",,,
"bbf7d9c898044008a2661283eccbdaa1","048657c1-ecb1-4e5d-aced-6126ceae779e","於友绿/181001","5",,,"192.168.0.81",,"/api/WorkFlow/FlowBefore/List/1","GET","3",,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.81 Safari/537.36 SE 2.X MetaSr 1.0","23/3/2021 08:55:28",,,
