"F_Id","F_ParentId","F_FullName","F_EnCode","F_Icon","F_UrlAddress","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_ModuleId"
"7a88b9467bd147fd8e22dedd43d32dfc","-1","撤回","btn_recall",,,,,"0","1","7/12/2019 18:06:36","admin","2/11/2020 08:27:40","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"a8a67a231b924cf88981b61359179d06"
"7b38b85687cf4a89be6fb15d1ae18092","-1","更多","btn_more",,,,,"0","1","19/10/2017 10:56:38",,"2/11/2020 08:09:10","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"07029F61-993A-4A46-BF56-20DE382F4F66"
"7c287196d73941bdaf33b1a9baa81ec7","-1","删除","btn_remove",,,,,"0","1","26/1/2018 11:08:40","admin","2/11/2020 07:42:03","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"0BF2E270-E214-4D3B-9F7C-D5B000068202"
"7dadf9554716405dba26ac1c03d358fb","-1","导出","btn_download","el-icon-download",,,,"0","1","23/3/2021 07:47:01","admin",,,,,,"c7ded4ca6cf9402f97386051eaedd254"
"815a99c3af5341eb8999a704e1291043","-1","详情","btn_detail",,,,,"0","1","20/1/2021 02:15:39","admin",,,,,,"12f57de476a34980b80d2a8b21d1f11a"
"827990a8f40c43eeb3cf5e01c50c1310","-1","删除","btn_remove",,,,,"0","1","12/12/2020 13:07:30","048657c1-ecb1-4e5d-aced-6126ceae779e",,,,,,"a05d850763064e1081420c34652f7f35"
"82c848b8dae1472a8954a2e7918241e4","-1","删除","btn_remove",,,,,"0","1","31/7/2020 09:35:58","admin",,,,,,"1e27a0ad83e44c2a83a2a0954eb4f1cb"
"831c602c54234b7da520d150d2a36389","-1","删除","btn_remove",,,,,"0","1","19/1/2021 10:59:19","admin",,,,,,"12f57de476a34980b80d2a8b21d1f11a"
"83d14c6fce1d49d8aeaf54d6ecec77d7","-1","终止","btn_cancel",,,,,"0","1","28/6/2018 10:57:03","admin","22/5/2020 14:30:37","admin",,,,"856131bc6e2b4b16aa79d35ba5234e78"
"8707f9179dbe4efeb6dc758a3f522bfd","-1","常用字段","btn_field",,,,"常用字段","0","1","6/8/2020 13:44:31","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4","15/10/2020 11:15:48","admin",,,,"c50f18d0568244a5b85878050bbc5a40"
"8929bf64b73a4a8aaa7e94e3acfe117a","e5a513f6ce6844959cadc586dd5a83c9","重置密码","btn_password",,,,,"0","1","19/10/2017 11:05:42",,"2/11/2020 08:07:23","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"4DDA6A84-A432-421C-9CE9-DB7A56033B02"
"8c8c6efa6efa4701a4dbc3961413dd81","-1","撤回","btn_revoke",,,,,"0","1","28/6/2018 10:36:12","admin","2/11/2020 08:23:55","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"4d2cb987fd9047d19e010cce01039fea"
"8c95a9bcc3af4c03a85c370e15d85019","-1","删除","btn_remove",,,,,"0","1","26/11/2018 22:05:46","admin","2/11/2020 07:58:45","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"aa12ebbd21d644b0bc8e77cf5abaed27"
"8d441325ef13441f8f48421dc54b83e7","-1","新建","btn_add",,,,,"0","1","16/7/2020 11:11:42",,,,,,,"380C9373-8BB8-4A86-822C-5C09031800C9"
"8d4724623a3445f9904046be504cf4d9","-1","新增","btn_add",,,,,"0","1","10/12/2020 07:36:35","admin",,,,,,"e513dd3187de4d78a4d5396a9442f7e1"
"8f0eabe4c1634eb78dc1fc94347cdbd9","-1","详情","btn_detail",,,,,"0","1","12/1/2021 12:49:49","admin",,,,,,"aca4af1ff2ed4c228c287d44e7608fbf"
"8f4a2a0c20d14872b7beb06f1b65a5dc","e5a513f6ce6844959cadc586dd5a83c9","用户停用","btn_disable",,,,,"0","0","19/10/2017 11:06:48",,"2/11/2020 08:06:57","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"4DDA6A84-A432-421C-9CE9-DB7A56033B02"
"8f6ceb6c0a384ecf8a200b15a6d2d9c0","a0791ed1cb0347e380d62cdb23eb8cc6","按钮权限-删除","btn_btnPer_remove",,,,,"0","1","16/7/2020 09:31:58",,"16/7/2020 09:34:52","admin",,,,"C9998351-03E7-449D-B911-666E83F8549E"
"90ac92e6c28d4f47aaea8a98a0f1d8a3","a7cdae31b01745d7808bd1587729f7b8","复制流程","btn_copy",,,,,"0","1","28/6/2018 11:29:50","admin","2/11/2020 09:00:39","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"fe0150960dd542ec9328067e4495074b"
"91a7ebfce57640e3a69be9ec29746787","-1","编辑","btn_edit",,"/Views/System/Menu/Form.html",,,"0","1","19/10/2017 10:39:21",,"2/11/2020 07:43:06","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"C9998351-03E7-449D-B911-666E83F8549E"
"9233bd553268454e921b82d2503a0d39","-1","删除","btn_remove",,,,,"0","1","20/11/2020 06:54:00","admin",,,,,,"deeed3d0cf27412696f178fd8fc407a0"
"92e75e1e7c4145d3b8212a2fe362dc39","-1","删除","btn_remove",,,,,"0","1","19/10/2017 10:55:06",,"2/11/2020 08:08:55","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"07029F61-993A-4A46-BF56-20DE382F4F66"
"93368d15b732445ca08593dee0ef6db0","-1","编辑","btn_edit",,,,,"0","1","12/1/2021 12:49:49","admin",,,,,,"aca4af1ff2ed4c228c287d44e7608fbf"
"936c723ef4164ad2942d2692913f1db0","-1","详情","btn_detail",,,,,"0","1","16/1/2018 09:35:22","admin","2/11/2020 08:34:40","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"F4FCA43A-B563-4149-AB16-486589CFC154"
"940a158dec804445871aefb2f127766f","-1","新增","btn_add","el-icon-plus",,,,"0","1","23/3/2021 08:14:02","admin",,,,,,"919e37b2a46d48d8a54152cd6e50627d"
"955d5292a48c4b889c4731e9f18831a7","-1","数据同步","btn_Execute",,,,,"0","1","7/9/2018 13:52:27","admin","2/11/2020 07:51:48","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"c2975d9023534cadb5a4fd6af9d1d1d8"
"9691a3545b3e44c4b778e83fe75d91ef","08512e176062401a9ef991d2b3912be6","分类列表-删除","btn_type_remove",,,,,"0","1","16/7/2020 10:00:29",,,,,,,"3F1554C1-4F09-49E7-AC6A-06641BD246CD"
"977d263e7dda4205b10c491f631166a9","-1","编辑","btn_edit",,,,,"0","1","7/8/2020 10:58:48",,,,,,,"118f8281f52f4719bacbcf1f86adc2e3"
"9788a08727b043f6939189ceb9cfdf00","-1","删除","btn_remove",,,,,"0","1","16/7/2020 11:12:29",,,,,,,"380C9373-8BB8-4A86-822C-5C09031800C9"
"9b47bc348a8840e09056bd74d94f9643","-1","删除","btn_remove",,,,,"0","1","16/1/2018 09:33:51","admin","2/11/2020 08:33:55","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"F4FCA43A-B563-4149-AB16-486589CFC154"
"a01c8ba03e2c4242a546ac8739bd7d84","-1","更多","btn_more",,,,,"0","1","2/11/2020 07:09:34","admin",,,,,,"C9998351-03E7-449D-B911-666E83F8549E"
"a04e41a3a6064c8db4fdcaf8ee26f5d2","-1","详情","btn_detail",,,,,"0","1","13/1/2021 02:12:32","admin",,,,,,"4b5cb2a3f6d4493cb017d06d9eacdadf"
"a0791ed1cb0347e380d62cdb23eb8cc6","-1","按钮权限","btn_btnPer",,,,,"0","1","16/7/2020 09:26:12",,,,,,,"C9998351-03E7-449D-B911-666E83F8549E"
"a0b6e5274e6d45ebaf2d90ef50237234","37baca9f008b480c9278ecf9eebdf2f4","导出Word","btn_exportWord",,,,,"0","1","2/11/2020 06:47:35","admin",,,,,,"c7159f97177b420d9fc8ec8c74ae541b"
"a15b14b03af544b19368b2ea3e7b6387","4bb3e79bf39b435eb1061b555eb6690a","提交审核","btn_flowSubmit",,,,,"0","1","6/12/2019 15:47:28","admin","2/11/2020 09:17:13","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"F4FCA43A-B563-4149-AB16-486589CFC154"
"a2e2d5da77de40aa98bf8226d8c4edcd","-1","删除","btn_remove",,,,,"0","1","19/1/2021 10:38:07","admin",,,,,,"0be9192d6244490bb8dee3c7c2237265"
"a321355a6f3544e496f551ef3c37e2bb","-1","保存","btn_save",,,,,"0","1",,,"2/11/2020 07:59:59","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"dae3a9ca44ae45df81478758799f2087"
"a70ee40357424e4c86c18b0ed3075ec7","-1","删除","btn_remove",,,,,"0","1","17/8/2020 03:28:50","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"85cd7bca426e49ce83a061bf461b1447"
"a74036eb4c8b4169868fe0fbe7350acd","-1","删除","btn_remove",,,,,"0","1","10/12/2020 07:36:35","admin",,,,,,"e513dd3187de4d78a4d5396a9442f7e1"
"a77d29c9f1134097be47a1b0d1a849b6","-1","详情","btn_detail",,"/Views/WorkFlow/FlowBefore/Audit.html",,,"0","1","7/12/2019 18:07:23","admin","2/11/2020 08:28:20","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"fb0888d9111a40a0adb44ccdf9dbb5c6"
"a7cdae31b01745d7808bd1587729f7b8","-1","更多","btn_more",,,,,"0","1","23/9/2020 08:42:27","admin","2/11/2020 09:00:45","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"fe0150960dd542ec9328067e4495074b"
