"F_Id","F_EnCode","F_FullName","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LanguageTypeId","F_Language","F_SignKey"
"39f92a636aa3433fa3e96041dd147927","acb817e5720f49c0a3b254495859957d","歡迎首頁",,"181225144210990",,"25/12/2018 14:42:11","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.tabs-console"
"3add324cf4574efd9d388c0508d641b1","701b3463f6ae4dbaa9c71f6cf2d4e8c7","意見回饋",,"181225143936690",,"25/12/2018 14:39:07","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.user-feedback"
"410ac45a72d14ca8b9efdb9b3348b2ee","f2b7ee1107434ef0b6987b29ab30e03c","用戶名/手機號/郵箱",,"181224174637513",,"24/12/2018 17:46:38","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.form-account"
"424be321d0cd497393555ddca1b66a31","823e133eef4240eca65175e5a2756453","全屏模式",,"181225144451760",,"25/12/2018 14:44:52","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.tabs-fullScreen"
"45567feedc4f4751b4f3ef38bb674e19","b656d5abd81348a9912e9e386dcb3384","内部聊天",,"181225150211920",,"25/12/2018 15:02:12","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-im-title"
"476734506ea946babce0a222037d1711","9bfa6b5167954fd2b34ecc02a374cd9d","全部已讀",,"181225150052970",,"25/12/2018 15:00:53","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.topnav-news-btn-allRead"
"4852bfc26db94c68904a2e69a207e053","28747f0a373e419a9c8cfa359072470f","消息管理",,"181225150126780",,"25/12/2018 15:01:27","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-news-btn-record"
"4d1b9989f140495394f301d22f628686","2bcba863a2344c998a87ea21cf29bc5d","微信扫码登录",,"181224174319843",,"24/12/2018 17:43:20","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.switch-code"
"4e0142167ae1448da7db5d4af493db19","2bcba863a2344c998a87ea21cf29bc5d","#",,"181224174319843",,"24/12/2018 17:43:20","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.switch-code"
"53a483de69264f2c8347a5dec6fd4d19","38d0a5071caf4fac94a5efa0cb9e011f","Sign in",,"181224175532847",,"17/8/2020 01:45:40","14601962-ddc6-4e00-9524-8c332753ee96",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.form-btn"
"543e15e4142f4e4c9436bca21299c7bf","ed53b4a4f19d4f418dda8a8f0ee46a93","密码",,"181224174714957",,"24/12/2018 17:47:15","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.form-password"
"54e0507c32f043e481d4f20a753ee3d3","39cfcd948a9040ae934056447aa5758a","帳戶密碼登入",,"181224174349313",,"19/8/2020 16:42:15","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.switch-com"
"5b7114dd036d4956a97a11297a93c374","ed53b4a4f19d4f418dda8a8f0ee46a93","密碼",,"181224174714957",,"24/12/2018 17:47:15","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.form-password"
"5e2107b08c244bb09a4e6216e41306ea","25854e258fa641a287a89728b1b5e086","搜索：导航菜单",,"181225150340903",,"25/12/2018 15:03:41","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.topnav-search-placeholder"
"5f4a2112711142f9a1ca54648e15effb","c794e33fcbe042baa44013a24e1245dd","Copyright ? 2018 YINMAISOFT 版本号:V1.2.181127",,"181224175231203",,"24/12/2018 17:52:31","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.copyright"
"5fc002f726be4cd7a8fb705c214cb9b7","22b8d3d289b2408e8ab59e3d37302542","#",,"181225144257797",,"25/12/2018 14:42:58","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.tabs-reloadCurrent"
"5ff49733aa934405a4d62c68df57b8e9","d0b4ca82f174417e9f856bb8a355462c","验证码",,"181224174805000",,"24/12/2018 17:48:05","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.form-code"
"6103355b176e48c0a719486155c58dcd","4555b485c5bc48a7a2ba4a4bc856a1a7","標籤預覽",,"181225144526000",,"25/12/2018 14:45:26","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.tabs-tabPreview"
"64d9c54dee964f808b408fcdeba3d398","901537a58645433d8c5c4b767627d1c7","锁住屏幕",,"181225143834153",,"25/12/2018 14:40:08","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.user.lockScreen"
"65a92e053c4947b7ac34f7067b62296f","bd5137d5f3d740358f3f074ea0b0f9c7","軟體發展平臺-登入頁面",,"181224174035757",,"19/8/2020 15:57:24","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.title"
"69724cf0d1e940a0b3d5360e4c6ea2e7","39cfcd948a9040ae934056447aa5758a","账户密码登录",,"181224174349313",,"19/8/2020 16:42:15","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","login.switch-com"
"6b56e6034ce64b8094a4ebecb00c5471","4555b485c5bc48a7a2ba4a4bc856a1a7","#",,"181225144526000",,"25/12/2018 14:45:26","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.tabs-tabPreview"
"6c6b0d7e1c30441da102a9b6f518d9ba","52ab143d574340f68819ac1b90da14ff","测试",,"20200919111451039",,"19/9/2020 03:14:51","22736bf4-f2d5-4081-9fb4-ca43d6235f56",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-CN","test"
