"F_Id","F_ParentId","F_Type","F_FullName","F_EnCode","F_UrlAddress","F_IsButtonAuthorize","F_IsColumnAuthorize","F_IsDataAuthorize","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LinkTarget","F_Category","F_Icon"
"73456c27d01b4416a330b011296c0f58","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","复杂表头","extend.tableDemo.complexHeader","extend/tableDemo/complexHeader","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"105","1","29/11/2020 14:19:44","admin","21/1/2021 02:31:44","admin",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"76975bee62074937b8e3ab76e53b0797","-1","1","代码生成","generator",,"0","0","0","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"2","1","31/7/2018 11:04:26","admin","20/1/2021 06:04:12","admin",,,,"_self","Web","icon-ym icon-ym-codeGeneration"
"7b251971ebc64ee283b5ee221930d751","ef0a18227f5c44bf810e793ca91ed796","5","可钻取交叉","kezhan","DataReport/kezhan","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""6e292d2e526e4581af72d09f21e275e0""}",,"0","1","6/11/2020 09:18:38","admin","20/11/2020 06:39:49","admin",,,,"_self","Web","icon-ym icon-ym-reportExample1"
"7d7b0683b1844fd1bf1697c9dfc3ebb3","41FC1581-2A8A-48DA-A207-E1266C4A893F","1","表格示例","extend.tableDemo",,"1","1","0","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"63","1","29/11/2020 14:19:44","admin","21/1/2021 02:15:23","admin",,,,"_self","Web","icon-ym icon-ym-tableExample"
"81aa106174b34632963d8bb2f34016c4","6a36b5be00c74a5a8eadf9aca216ce8e","2","E-散点图","extend.graphDemo.echartsScatter","extend/graphDemo/echartsScatter","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"85","1","29/11/2020 14:19:44","admin","21/1/2021 02:20:29","admin",,,,"_self","Web","icon-ym icon-ym-echartsScatter"
"853613e7d0aa46e383501b60af3bb440","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","表格合并","extend.tableDemo.mergeTable","extend/tableDemo/mergeTable","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"106","1","29/11/2020 14:19:44","admin","21/1/2021 02:54:51","admin",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"854702f9d9c1413f8fe8c66bac8b726c","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","表格打印","extend.tableDemo.printTable","extend/tableDemo/printTable","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"107","1","29/11/2020 14:19:44","admin","21/1/2021 02:54:59","admin",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"856131bc6e2b4b16aa79d35ba5234e78","5a45f2ff9d0845b2b80bc11f7f7861cf","2","流程监控","workFlow.flowMonitor","workFlow/flowMonitor","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"59","1","16/1/2018 14:50:53","admin","21/1/2021 02:13:00","admin",,,,"_self","Web","icon-ym icon-ym-flowMonitor"
"85cd7bca426e49ce83a061bf461b1447","7234458129814e0c9c42bc89652b1fa0","2","功能设计","onlineDev.webDesign","onlineDev/webDesign","1","1","1","{""iconBackgroundColor"":""#FF3B3B"",""moduleId"":""""}","应用开发、移动开发、流程表单","10","1","29/11/2020 14:19:44","admin","23/3/2021 07:23:33","admin",,,,"_self","Web","icon-ym icon-ym-webDesign"
"89524f3808b843eab437ca68e7845151","41FC1581-2A8A-48DA-A207-E1266C4A893F","1","大屏示例","reportBI",,"0","0","0","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"61","1",,,"21/1/2021 02:14:51","admin",,,,"_self","Web","icon-ym icon-ym-bigScreenExample1"
"8990be20320a4cec99d2e0979ec8dbe7","7110175e27ce424ea1d3ee4da7a72009","2","人脸识别","facerecognition","/pages/apply/apply/facerecognition/index","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"0","1","29/11/2020 14:19:44","admin","9/12/2020 08:42:34","3074194b-1d4d-432a-b2a8-1e07fa88d644",,,,"_self","App","icon-ym icon-ym-saolian"
"8a9db01a5c394d889b7cd3d30a043982","6a36b5be00c74a5a8eadf9aca216ce8e","2","E-树形图","extend.graphDemo.echartsTree","extend/graphDemo/echartsTree","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"88","1","29/11/2020 14:19:44","admin","21/1/2021 02:20:52","admin",,,,"_self","Web","icon-ym icon-ym-echartsTree"
"8c5df94a7af84f26846d719b6e27c765","ef0a18227f5c44bf810e793ca91ed796","5","交叉统计","jiaochatongji","DataReport/jiaochatongji","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""b64091c76e1241dab1da49ea430a65bb""}",,"0","1","6/11/2020 09:20:16","admin","20/11/2020 06:39:59","admin",,,,"_self","Web","icon-ym icon-ym-reportExample1"
"8cab8cfc402a45339975e1b58809cb4a","E7443869-AFAD-4597-9B12-CD182369DF3C","2","系统监控","system.monitor","system/monitor","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"23","1",,,"21/1/2021 01:29:50","admin",,,,"_self","Web","icon-ym icon-ym-sysMonitor"
"8e31faee685446e28b1eb77cb871cae2","41FC1581-2A8A-48DA-A207-E1266C4A893F","1","功能示例","gongnegshili",,"1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"65","1","13/1/2021 15:36:10","admin","22/1/2021 11:52:34","admin",,,,"_self","Web","icon-ym icon-ym-generator-kanban"
"8ee6ec6db2ac4a5e9b010100c7690798","76975bee62074937b8e3ab76e53b0797","2","流程表单","generator.flowForm","generator/flowForm","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"17","1","17/1/2018 11:58:36","admin","21/1/2021 09:27:37","admin",,,,"_self","Web","icon-ym icon-ym-flowForm"
"9057d797550e4457b7ddf2456ce45882","3899D622-578E-4149-B2B4-C8EBD9DA3FDB","2","权限管理","permission.authorize","permission/authorize","1","1","1","{""iconBackgroundColor"":""#1890FF"",""moduleId"":""""}",,"51","1","21/5/2018 14:00:08","admin","21/1/2021 02:07:07","admin",,,,"_self","Web","icon-ym icon-ym-authorize"
