"F_Id","F_ParentId","F_FullName","F_EnCode","F_SimpleSpelling","F_IsDefault","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_DictionaryTypeId"
"0cc616a324d94e4d868d75e93c2ef044","0","合同管理","4","HTGL,GTGL",,,"0","1","16/5/2020 17:03:53","admin","16/5/2020 17:05:42","admin",,,,"e0bfb7f7a3054e65949ca0f7c136d717"
"0d181414d82442a296473cac4fa357ec","0","@2980","@2980.com",,,"网络邮箱","0","1","30/11/2018 11:28:24","admin",,,,,,"55d7666d74df4bb4b36aed08a3a5bad1"
"0DB2D286-D299-4490-808B-A94A217E45DD","c6edee1e-ae57-4b1e-84e5-4837e24978b8","政府","政府","ZF",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"0F2C0CD7-D2ED-4119-8E06-80D928B6F6DD","d9b969ed-9122-4861-9035-c631acf99378","洗浴","洗浴","XY",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"0F3966B0-63A5-47B1-A88B-D8CDFE65563E","75f1eb60-1258-4747-bfbc-ac66c1724b49","货物运输/大宗物流","货物运输/大宗物流","HWYSDZWL",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"0fcc751d-9ceb-4767-8755-f0189b239468","d59a3cf65f9847dbb08be449e3feae16","房产/装修/租售","房产/装修/租售","FCZXZS",,,"0","1","24/10/2017 16:00:36",,"22/1/2021 02:02:52","admin",,,,"d59a3cf65f9847dbb08be449e3feae16"
"1128f7a50cc64c6db6eed4696fdbee80","0","研究生","7","YJS",,,"0","1","24/10/2017 16:00:35",,"28/9/2020 01:10:01","admin",,,,"6a6d6fb541b742fbae7e8888528baa16"
"113779bb677d4021b54b10eb8c29145a","0","壮族","壮族","ZZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"128ACB5A-3619-4D41-86A6-9CC8CE44F0C9","27c38cf2-dc0a-4449-ab87-7eb68f7e425b","留学/移民","留学/移民","LXYM",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"12f83c695e104710933f9d713ac68b32","0","京族","京族","JZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"134d1bdae57e4d6c898e0d2ee72f2164","0","黎族","黎族","LZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"176a35a32f6847db9d6699b35e96b662","3e2d33e54d554b4b8a33fc41b93f8a2d","人事费用","1","RSFY",,,"1","1","31/10/2020 01:56:25","admin","20/1/2021 11:59:14","admin",,,,"3e2d33e54d554b4b8a33fc41b93f8a2d"
"1ae0d5056618489f941edc485c2ae772","0","小于","4","XY",,,"0","1","24/10/2017 16:00:36",,"26/10/2017 17:17:37",,,,,"237446e245ce403d8062995ea33711cf"
"1aea9914615748c1a150ebc52a102e60","0","搜索引擎","搜索引擎","SSYQ",,,"0","1","16/12/2019 17:52:09","admin",,,,,,"c9f32bb4eef748998ed57280fe100fb7"
"1b5fc8800abc468ca6af903149caa5a4","0","半年结算","Halfyearknot","BNJS",,,"0","1","10/7/2018 10:24:58","admin","10/7/2018 10:54:11","admin",,,,"1143c18426014419a35aa1fa97685c9c"
"1b6da0db9c8f4054ac5225d32ac2607a","0","普米族","普米族","PMZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"1b82cfae-98f1-4b54-a3ae-1d1c6ad3f3f6","0","手机数码/通讯服务","手机数码/通讯服务","SJSMTXFW",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"1c8bc07c65214f7ca842d8504cea4067","0","东乡族","东乡族","DXZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"1CCFE5C7-9448-44C1-A7A0-206DA6095868","7c7d4ae2-455c-439b-b8a8-eb484014aa75","维修/保养/改装","维修/保养/改装","WXBYGZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"1d53970d6da94c6ca648311399122a02","0","哈萨克族","哈萨克族","HSKZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"1db9a7c7c88a4dc7a5f61ae3aed723ae","0","撒拉族","撒拉族","SLZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"1E8757B0-9572-43B7-B5B0-CE15FDC9AAF2","614ecab4-845f-4cbc-9ff7-a9968aca6eeb","安防/监控器材","安防/监控器材","AFJKQC",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"20720625593343e39676654e73a6a39a","0","朝鲜族","朝鲜族","ZXZ,CXZ",,,"0","1","24/10/2017 16:00:35",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"2112FC39-0B0C-4D4D-87CB-A48843674083","0fcc751d-9ceb-4767-8755-f0189b239468","开发商","开发商","KFS",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"22DF536C-B5FF-44BA-A53E-66DD314055E0","4d885793-2fbd-49ce-9b0e-aa709a71b2d0","客运/票务","客运/票务","KYPW",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"2498cd869da94d60b7c37c9afb8cc557","70f970e14fee4879802b63122511032b","自定义表单","2","DTBD",,,"0","1","10/8/2020 18:11:36","00ca450b-141b-45d2-b6cb-94d818165543","3/12/2020 09:30:35","admin",,,,"70f970e14fee4879802b63122511032b"
"249c53f9a6fc4be2b7ed1c9505daa863","b1474890faaa47e1858ce7b593c8ffd7","人事管理","personnelManage","RSGL",,,"0","1","21/9/2020 02:22:14","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"b1474890faaa47e1858ce7b593c8ffd7"
"25b952c507b148f98d50762a2e90419a","0","裕固族","裕固族","YGZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"25c403a66a7a43cab1f85f105e5ba394","038d293fca544c86afa3f2bc65421fd7","商机","1","SJ",,,"0","1","6/11/2020 06:43:20","admin",,,,,,"038d293fca544c86afa3f2bc65421fd7"
