"F_Id","F_ItemType","F_ItemId","F_ObjectType","F_ObjectId","F_SortCode","F_CreatorTime","F_CreatorUserId"
"5cc83fe6bd5c4ab7a24da0f3ae4dc6be","column","3c4b482107e34c128d302f05fae43be9","Role","d2b2418a2f664c61abf0053ff5d57783","478","20/1/2021 14:17:51","admin"
"5cca2f38f4104b4caadf62c340e8f836","column","655cba6af3b448bdb01f0e42945b9827","Role","94e3a9bb0fce4547886972998fddba1c","445","15/1/2021 15:34:45","admin"
"5ccaa61c4dbd4e6c9b5e3e39268653a8","resource","b3e60c5216c44c3bad8e148b11ef75e2","Role","d2b2418a2f664c61abf0053ff5d57783","863","20/1/2021 14:17:51","admin"
"5d15c323237b48839705a3fc2ff53c0c","module","81aa106174b34632963d8bb2f34016c4","Role","94e3a9bb0fce4547886972998fddba1c","366","15/1/2021 15:34:45","admin"
"5d370e5a4a7a41a5ab3e6d885aa07837","column","f81751dd7f164236b1fe76770e44f9eb","Role","fed9a1995b0143d496ed36b7fbafbabb","75","13/1/2021 22:07:11","048657c1-ecb1-4e5d-aced-6126ceae779e"
"5d48176895e1418d978a3a22a2d690be","button","531591f155ec4483a10d38d73415f788","Role","d2b2418a2f664c61abf0053ff5d57783","9","20/1/2021 14:17:51","admin"
"5d74b3d5d8d948aead91911b940ee10a","resource","aca4af1ff2ed4c228c287d44e7608fbf","Role","94e3a9bb0fce4547886972998fddba1c","771","15/1/2021 15:34:45","admin"
"5de4a6575de6499d855012355ccc2272","column","41FC1581-2A8A-48DA-A207-E1266C4A893F","Role","6c3f9f53e1824ed597d4a6349fadd869","65","4/11/2020 15:56:07","03d159a3-0f88-424c-a24f-02f63855fe4f"
"5dec02223aea478e81df5c9e7e275810","column","f088bff73c2d48cfbb6ad5c06a98f70f","Role","94e3a9bb0fce4547886972998fddba1c","628","15/1/2021 15:34:45","admin"
"5deea203af4240f89b45fece009712e6","button","edd5d9253b2c42eb98dd9c81dd7aebc3","Role","94e3a9bb0fce4547886972998fddba1c","185","15/1/2021 15:34:45","admin"
"5e325420dd0b43c1bdf482415b48a3c2","button","b3e60c5216c44c3bad8e148b11ef75e2","Role","d2b2418a2f664c61abf0053ff5d57783","251","20/1/2021 14:17:51","admin"
"5e57da853a794a53b4fd616002d7849c","column","6faea7be281f436fa52f13b0e8cbbd6c","Role","d2b2418a2f664c61abf0053ff5d57783","514","20/1/2021 14:17:51","admin"
"5e7846cf1b5c49eda6b465f2e04acd74","resource","95e276c7abf44476b888fda46989756c","Role","d2b2418a2f664c61abf0053ff5d57783","903","20/1/2021 14:17:51","admin"
"5e78a44eba5c45709da5ba5cfdebd4c4","column","cb3e49abb40b4eabbf6fe9ae10c267e3","Role","d2b2418a2f664c61abf0053ff5d57783","544","20/1/2021 14:17:51","admin"
"5ea54f718466427cbd872d440ac8bf2d","column","23728f8cb09b44dca2b8f656d83107ca","Role","d2b2418a2f664c61abf0053ff5d57783","502","20/1/2021 14:17:51","admin"
"5eb9d16fe67c4d94b0de67ce09596788","resource","BFA48A1E-2957-4B67-B432-C409DCA4FD29","Role","d2b2418a2f664c61abf0053ff5d57783","813","20/1/2021 14:17:51","admin"
"5ecc034eeef344a1b780e77429a8e009","column","2d3521e5c2bb48419e21cc26c406c4e8","Role","94e3a9bb0fce4547886972998fddba1c","639","15/1/2021 15:34:45","admin"
"5edcdb611746487a9799da00e4c35891","column","c78655f897464c049b4682fef4767196","Role","94e3a9bb0fce4547886972998fddba1c","614","15/1/2021 15:34:45","admin"
"5f08ad38b05543b5adba442ecf60492a","button","64d47f6a6cbe4105a223b212c09118ca","Role","d2b2418a2f664c61abf0053ff5d57783","165","20/1/2021 14:17:51","admin"
"5f0cef7e042449c7b2d4cf4532bc2c8b","column","a5c2fb2760124fbe985815772b82d2a5","Role","d2b2418a2f664c61abf0053ff5d57783","415","20/1/2021 14:17:51","admin"
"5f104ccafbf7457ba4fd7ff0a2609265","module","e2790019271d4913b3c077447487be16","Role","d2b2418a2f664c61abf0053ff5d57783","369","20/1/2021 14:17:51","admin"
"5f11fd209d704864a9dd8f05e9c72732","module","72d38eb93b4b453b93baedcdd16e7a17","Role","94e3a9bb0fce4547886972998fddba1c","327","15/1/2021 15:34:45","admin"
