"F_Id","F_EnCode","F_FullName","F_ConditionJson","F_ConditionText","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_ModuleId"
"abbdc62ef9754d008edbab6d7cf33ae5",,"输出","[{""logic"":""and"",""groups"":[{""id"":""ada92a8ebcdb458293329c2a123b26ad"",""field"":""名称"",""type"":""String"",""op"":""Equal"",""value"":""应用收费""}]}]","【{@modelName} {等于} {应用收费}】",,"0","1","15/1/2021 02:17:31","admin",,,,,,"85cd7bca426e49ce83a061bf461b1447"
"ba3a0db808b048569a6e57b13f63c2a9",,"【我新建的/我下属的】数据","[{""logic"":""and"",""groups"":[{""id"":""dfdfd4108a2b4671ae702d708a29cc55"",""field"":""F_CreatorUserId"",""type"":""String"",""op"":""Equal"",""value"":""@userId""}]},{""logic"":""or"",""groups"":[{""id"":""db3bdf4a0ece42afa7c6f07d045136cb"",""field"":""F_CreatorUserId"",""type"":""String"",""op"":""Equal"",""value"":""@subordinateId""}]}]","【{当前用户} {等于} {@userId}】或者【{我的下属} {等于} {@subordinateId}】",,"181108182844853","1","8/11/2018 18:28:45","admin","18/1/2021 02:30:13","admin",,,,"F4FCA43A-B563-4149-AB16-486589CFC154"
