"F_Id","F_EnCode","F_FullName","F_ExecuteType","F_ExecuteContent","F_ExecuteCycleJson","F_LastRunTime","F_NextRunTime","F_RunCount","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId"
"132f38c4-46e9-4776-b1f4-da9efcaf13f3","EmptyTemporaryFile","每隔24小时自动清空临时文件","1","1","* * * * *",,,,,"0","1","2/8/2017 09:58:23","7a727106-394f-4d70-87db-5e6d31bf2b88","16/5/2018 13:32:30","admin",,,
"197326af-9d68-4278-ba27-c33f4edc3fd3","BackupsDataBase","每隔24小时自动备份数据库","2","11","* * * * *",,,,"测试数据库","0","1","31/7/2017 14:04:18","7a727106-394f-4d70-87db-5e6d31bf2b88","6/7/2019 11:41:18","admin",,,
"5b8a60b2d3fa4245babfc55eb99d7508",,"每隔24小时自动备份数据库","1","{""cron"":"""",""database"":""0"",""day"":"""",""end"":""1"",""endTime"":null,""frequency"":""1"",""frequencyList"":[],""hours"":"""",""interfaceType"":""GET"",""interfaceUrl"":""222"",""minute"":"""",""month"":"""",""name"":""每隔24小时自动备份数据库"",""parameter"":[],""password"":null,""restart"":false,""restartFrequency"":"""",""restartTime"":"""",""seconds"":"""",""start"":""1"",""startTime"":null,""stored"":"""",""storedParameter"":[],""type"":""1"",""url"":null,""userName"":null,""week"":""""}","59 09 16 15 07 ?","15/7/2021 13:58:51","15/7/2021 16:09:59","1",,"0","0","15/7/2020 13:58:52","a133c2e4-212d-414e-b9d1-5ca443b1e95d","15/7/2020 16:09:59","admin",,,
"df4e301f-0598-419d-a72e-f98782fd9f3e","EmailNotice_Workflow","邮件通知-工作流","1","1","* * * * *",,,,"触发邮件通知事件","0","1","31/7/2017 14:43:56","7a727106-394f-4d70-87db-5e6d31bf2b88","26/4/2018 10:01:20","admin",,,
"e3c7ae53-600d-48d6-abe1-bb0ffd882c7a","EmptyLog","每隔24小时清除超过90天日志","2","1","* * * * *",,,,,"0","1","31/7/2017 15:03:40","7a727106-394f-4d70-87db-5e6d31bf2b88","16/5/2018 13:32:31","admin",,,
